procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 9  0      0 165320  14712 1375864   0    0     0     0 41939 93938 18 29 53 0 0  0
 9  0      0 163988  14712 1376964   0    0    20     4 41863 96810 23 31 46 0 0  0
 0  0      0 162464  14712 1378240   0    0     0    20 44504 98763 21 32 47 0 0  0
10  0      0 161036  14720 1378996   0    0     0    48 43212 94190 20 30 50 0 0  0
 2  0      0 157256  14720 1380060   0    0     0    24 44541 98203 22 34 44 0 0  0
 0  0      0 155084  14720 1381048   0    0     0     0 43423 96759 18 31 51 0 0  0
 0  0      0 153700  14728 1381800   0    0     0    88 45170 99017 18 30 52 0 0  0
 2  0      0 152904  14728 1382852   0    0     0 20176 46316 104643 19 33 48 0 0 0
 8  0      0 151700  14728 1383740   0    0     0    80 43298 95739 20 32 48 0 0  0
17  0      0 149236  14728 1386356   0    0  1584     0 42275 94366 18 31 50 0 0  0
 5  0      0 148508  14728 1387308   0    0     0    28 43819 95951 18 32 50 0 0  0
17  0      0 144376  14736 1388396   0    0     0    60 46658 105715 21 32 47 0 0 0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0      0 143996  14744 1389480   0    0     0    48 40914 92093 19 31 50 0 0  0
 5  0      0 142764  14744 1390348   0    0     0    16 44056 98899 21 33 47 0 0  0
 4  0      0 142036  14744 1391360   0    0     0    24 45609 102663 18 29 52 0 0 0
 7  0      0 141812  14744 1392400   0    0    20     0 46671 102975 20 31 49 0 0 0
 5  0      0 139988  14744 1393232   0    0     0    48 42660 94421 19 32 49 0 0  0
 6  0      0 139164  14752 1394328   0    0     0    28 42393 94603 19 31 50 0 0  0
 0  0      0 138156  14760 1395340   0    0     0 10116 46913 103701 20 31 49 0 0 0
 7  0      0 137176  14760 1396176   0    0     0     0 40914 90116 17 27 55 0 0  0
10  0      0 136728  14760 1397208   0    0     0    24 43736 99545 21 33 46 0 0  0
 7  0      0 135208  14760 1398036   0    0    12     0 44626 99730 18 29 53 0 0  0
 0  0      0 134796  14760 1399032   0    0     0    24 46138 101153 21 34 46 0 0 0
 6  0      0 134040  14768 1400072   0    0     0    52 43280 95789 19 30 51 0 0  0
 4  0      0 133032  14768 1401156   0    0     0    28 43649 97086 19 31 49 0 0  0
 7  0      0 131072  14768 1402228   0    0     0     0 45955 105551 21 33 47 0 0 0
 9  0      0 129616  14776 1402996   0    0     0    80 44902 100306 20 34 46 0 0 0
 2  0      0 128860  14776 1404088   0    0     0     0 44091 98296 19 31 50 0 0  0
 0  0      0 127180  14776 1405048   0    0     0    84 43902 99643 21 30 49 0 0  0
11  0      0 125472  14776 1406020   0    0    32     0 45621 99716 19 30 50 0 0  0
10  0      0 124212  14784 1406912   0    0     0    60 45897 102670 20 35 45 0 0 0
 0  0      0 132124  14784 1408008   0    0     0     0 44082 96607 19 31 50 0 0  0
 7  0      0 130152  14784 1408872   0    0     0    24 41848 92074 19 29 52 0 0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 7  0      0 127660  14784 1410052   0    0     0    48 44831 101118 22 33 45 0 0 0
12  0      0 126176  14784 1411068   0    0     0    28 46453 104120 22 35 43 0 0 0
 5  0      0 124944  14792 1411980   0    0     0    32 43059 96293 19 33 48 0 0  0
 2  0      0 121464  14800 1412996   0    0     0    48 43100 95560 21 30 49 0 0  0
 9  0      0 121028  14800 1414196   0    0    44    24 45715 102119 20 30 50 0 0 0
 9  0      0 120300  14800 1414852   0    0     0 20188 43860 97180 21 33 46 0 0  0
 7  0      0 119068  14800 1416172   0    0   108    24 44426 100193 20 33 47 0 0 0
12  0      0 117864  14800 1417096   0    0     0    24 45527 100598 20 31 49 0 0 0
12  0      0 116408  14812 1418248   0    0     0    72 46480 104103 21 35 44 0 0 0
 9  0      0 115176  14820 1419260   0    0   108    48 43583 95692 19 32 49 0 0  0
 7  0      0 114420  14820 1420360   0    0     0    16 45774 101719 18 28 54 0 0 0
 9  0      0 113216  14820 1421300   0    0     0    28 41765 92842 19 30 51 0 0  0
 8  0      0 112040  14820 1422260   0    0     0     0 45208 102512 21 34 44 0 0 0
 1  0      0 118016  14388 1418648   0    0   108    24 44705 101268 19 35 46 0 0 0
13  0      0 117020  14396 1419816   0    0     0    52 44554 102311 21 33 46 0 0 0
10  0      0 114368  14404 1420880   0    0    80    88 45200 101499 22 34 45 0 0 0
 8  0      0 112136  14404 1422100   0    0     0    28 42223 94228 20 32 48 0 0  0
 6  0      0 111156  14404 1422904   0    0     0    24 45320 101133 19 31 50 0 0 0
 9  0      0 118620  14404 1422820   0    0   128     0 43268 96288 19 30 51 0 0  0
 6  0      0 117552  14404 1423948   0    0     4    24 44688 99831 20 35 45 0 0  0
 1  0      0 114508  14412 1425160   0    0     0    52 41410 93097 20 31 49 0 0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 7  0      0 112868  14420 1425764   0    0     0    52 45128 98106 21 32 47 0 0  0
 2  0      0 112048  14420 1426988   0    0     0     0 43121 95053 20 31 49 0 0  0
 0  0      0 111128  14420 1427124   0    0     0    24 42908 95329 19 32 49 0 0  0
 0  0      0 121556  14348 1422900   0    0     0    28 45185 98589 22 32 45 0 0  0
 0  0      0 119804  14348 1423908   0    0     0    56 44673 100102 21 31 48 0 0 0
 9  0      0 115216  14356 1424992   0    0     0    56 44990 101601 20 29 51 0 0 0
 3  0      0 113608  14364 1425868   0    0     0    48 43472 95044 18 31 51 0 0  0
 0  0      0 112468  14364 1427032   0    0     0     0 46203 103396 20 29 51 0 0 0
 0  0      0 110948  14364 1427748   0    0     4    28 43391 96016 18 30 52 0 0  0
10  0      0 120928  14292 1424228   0    0   256    16 45847 103247 20 33 46 0 0 0
 7  0      0 114748  14292 1425240   0    0     0 20540 44409 98868 19 34 47 0 0  0
 4  0      0 113020  14304 1426252   0    0     0    68 43319 96054 20 31 49 0 0  0
 1  0      0 110900  14304 1427096   0    0     0    24 43560 98203 18 27 54 0 0  0
11  0      0 123232  14280 1424204   0    0     0    52 41419 90881 17 30 53 0 0  0
 1  0      0 118604  14280 1425420   0    0     4    60 47153 104927 21 35 45 0 0 0
 8  0      0 116880  14280 1426492   0    0     0  9888 46474 103255 19 32 49 0 0 0
 4  0      0 115408  14280 1427148   0    0     0    24 42152 93001 18 30 52 0 0  0
 2  0      0 112252  14280 1429328   0    0     0     0 43068 96525 21 33 47 0 0  0
13  0      0 111272  14292 1430268   0    0     4    72 43692 96226 21 33 45 0 0  0
10  0      0 115152  14280 1429216   0    0     0    16 46252 104346 21 36 43 0 0 0
 0  0      0 112856  14288 1430140   0    0     0    60 43319 96183 19 33 48 0 0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 112128  14288 1430872   0    0     0     0 42144 93901 21 31 48 0 0  0
