procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 245904  38600 1534236   0    0     0    28 37888 85244 17 25 58 0 0  0
 7  0      0 244168  38600 1535144   0    0     0    24 39607 87422 16 27 57 0 0  0
 0  0      0 242180  38600 1535672   0    0     0     0 39314 84903 15 26 60 0 0  0
 5  0      0 240696  38608 1536752   0    0     0    84 42164 92712 18 29 54 0 0  0
 0  0      0 238204  38608 1537320   0    0     0    16 40947 91173 15 25 60 0 0  0
 5  0      0 237196  38608 1538356   0    0     0    24 40048 87371 18 27 56 0 0  0
 8  0      0 234944  38608 1538912   0    0     0     0 40826 88914 16 26 57 0 0  0
 0  0      0 233768  38608 1539772   0    0     0    28 39208 85569 15 24 61 0 0  0
 4  0      0 232508  38616 1540524   0    0     0 24128 40733 88936 17 28 56 0 0  0
16  0      0 231752  38616 1541352   0    0     0    56 39704 87137 19 26 56 0 0  0
 6  0      0 230492  38624 1541992   0    0     0    56 38901 84537 15 26 58 0 0  0
 2  0      0 226740  38624 1542832   0    0     0    24 39019 86159 19 27 54 0 0  0
11  0      0 225228  38624 1543372   0    0     0     0 38743 84762 14 24 62 0 0  0
 5  0      0 222988  38632 1544232   0    0     0   184 41054 88669 15 26 59 0 0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
14  0      0 222260  38632 1544868   0    0     0    16 39485 87710 14 25 61 0 0  0
 0  0      0 221812  38632 1545904   0    0     0    24 42009 93112 17 27 56 0 0  0
 5  0      0 221308  38632 1546608   0    0     0     0 40424 86539 16 26 58 0 0  0
 0  0      0 220808  38632 1547500   0    0     0    24 39208 84271 16 26 58 0 0  0
 9  0      0 218064  38640 1548216   0    0     0    36 40282 89802 17 25 58 0 0  0
 2  0      0 217840  38640 1549084   0    0     0    60 42193 91758 17 30 53 0 0  0
 6  0      0 217140  38648 1549832   0    0     0    48 39273 87644 17 27 56 0 0  0
 8  0      0 216636  38648 1550744   0    0     0    24 40689 88895 17 27 56 0 0  0
10  0      0 216160  38648 1551364   0    0     0     0 40579 87780 18 27 55 0 0  0
 0  0      0 213892  38648 1552284   0    0     0    52 39682 88700 14 24 62 0 0  0
 1  0      0 212156  38648 1552928   0    0     0    16 38128 82474 16 26 58 0 0  0
 7  0      0 211428  38664 1554028   0    0     0    92 41062 90008 18 29 54 0 0  0
 4  0      0 210420  38664 1554672   0    0     0     0 38595 82681 14 23 62 0 0  0
 8  0      0 209692  38664 1555400   0    0     0    24 41281 90119 18 28 54 0 0  0
 7  0      0 208208  38664 1556304   0    0     0    32 40219 88493 17 27 56 0 0  0
 0  0      0 207704  38664 1556924   0    0     0    60 42196 93756 18 27 55 0 0  0
 0  0      0 207228  38668 1557756   0    0     0    52 38894 83913 15 23 62 0 0  0
11  0      0 206724  38668 1558512   0    0     8    24 41250 90748 18 27 55 0 0  0
 6  0      0 206220  38668 1559336   0    0     0     0 39252 86094 17 29 54 0 0  0
 5  0      0 202720  38668 1560028   0    0     0    52 42493 92708 17 28 55 0 0  0
 3  0      0 201992  38668 1560760   0    0     0 16428 37665 83537 15 24 61 0 0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0      0 201516  38676 1561664   0    0     0    84 41532 91045 16 27 57 0 0  0
 9  0      0 201292  38676 1562416   0    0     0     0 38711 84697 18 26 57 0 0  0
 1  0      0 200536  38684 1563140   0    0     0    52 40302 88672 16 26 59 0 0  0
 1  0      0 199304  38684 1564060   0    0     0     0 40747 89673 18 29 53 0 0  0
 5  0      0 198576  38688 1564592   0    0     0  7668 37436 83017 17 25 58 0 0  0
 0  0      0 198324  38688 1565588   0    0    16    24 38613 83427 15 22 63 0 0  0
 2  0      0 196644  38688 1566356   0    0     0    24 41363 90607 18 28 55 0 0  0
 3  0      0 193368  38696 1566908   0    0     0    44 39315 85751 16 28 56 0 0  0
 4  0      0 190596  38704 1567920   0    0     0    76 40422 89239 17 27 56 0 0  0
 7  0      0 189840  38704 1568552   0    0     0    16 40227 88479 16 27 57 0 0  0
 8  0      0 188664  38704 1569408   0    0     0    24 39588 87661 16 27 57 0 0  0
 6  0      0 187908  38704 1570292   0    0    72     0 40814 88524 16 26 58 0 0  0
 8  0      0 205100  38704 1571004   0    0     0    24 39358 86806 16 26 58 0 0  0
 4  0      0 202612  38712 1571812   0    0     0    36 39539 87461 17 28 55 0 0  0
